,Pubmed accesion code number 1,Locus
642,['37031687'],OP964940
643,['37031687'],OP964939
644,['37031687'],OP964938
645,['37031687'],OP964937
646,['37031687'],OP964936
647,['37031687'],OP964935
648,['37031687'],OP964934
649,['37031687'],OP964933
650,['37031687'],OP964932
651,[''],OQ300338
652,['37029884'],OQ230631
653,['37029884'],OQ230630
654,['37029884'],OQ230629
655,['37029884'],OQ230628
656,['37029884'],OQ230627
657,['37029884'],OQ230626
658,[''],ON262796
659,[''],ON262795
660,[''],ON262794
661,[''],ON262793
662,[''],ON262792
663,[''],ON262791
664,[''],OM416279
665,[''],OM416278
666,[''],OM416277
667,[''],OM416276
668,[''],OM416275
669,[''],OM416274
670,[''],OM416273
671,[''],OM416272
672,[''],OM416271
673,[''],OM416270
674,[''],OM416269
675,[''],OM416268
676,[''],OM416267
677,[''],OM416266
678,[''],OM416265
679,[''],OM416264
680,[''],OM416263
681,[''],OM416262
682,[''],OM416261
683,[''],OL840907
684,[''],OL840906
685,[''],OL840905
686,[''],ON734070
687,[''],ON734069
688,['36298867'],ON586968
689,['36298867'],ON586967
690,['36298867'],ON586966
691,['36298867'],ON586965
692,['36298867'],ON586964
693,['36298867'],ON586963
694,['36298867'],ON586962
695,['36298867'],ON586961
696,['36298867'],ON586960
697,['36298867'],ON586959
698,['36298867'],ON586958
699,['36298867'],ON586957
700,['36298867'],ON586956
701,['36298867'],ON586955
702,['36298867'],ON586954
703,['36298867'],OP485455
704,['36298867'],OP485454
705,['36298867'],OP485453
706,['36298867'],OP485452
707,['36298867'],OP485451
708,['36298867'],OP485450
709,['36298867'],OP485449
710,['36298867'],OP485448
711,['36298867'],OP485447
712,['36298867'],OP485446
713,['36298867'],OP485445
714,['36298867'],OP485444
715,['34754512'],OK299099
716,['34754512'],OK299098
717,[''],OL343617
718,[''],OL343616
719,[''],OL343615
720,[''],OL343614
721,[''],OL343613
722,[''],OL343612
723,[''],OL343611
724,[''],OL343610
725,[''],OL343609
726,[''],OL343608
727,['35736970'],ON207128
728,['35736970'],ON207127
729,['35736970'],ON207126
730,[''],OM898920
731,[''],OM799584
732,[''],OM799583
733,[''],OM799582
734,[''],OM799581
735,[''],OM799573
736,[''],OM799572
737,[''],OM799571
738,[''],OM799570
739,['35475905'],MG262527
740,['35475905'],MG262526
741,['35475905'],MG262525
742,['35475905'],MG262524
743,['35475905'],MG262523
744,['35475905'],MG262522
745,['35475905'],MG262521
746,['35475905'],MG262520
747,['35475905'],MG262519
748,['35475905'],MG262518
749,['35475905'],MG262517
750,['35475905'],MG262516
751,['35475905'],MG262515
752,['35475905'],MG262514
753,['35475905'],MG262513
754,['35475905'],MG262512
755,['35475905'],MG262511
756,['35475905'],MG262510
757,['35475905'],MG262509
758,['35475905'],MG262508
759,['35475905'],MG262507
760,[''],OL898715
761,[''],OL898714
762,[''],OL898713
763,[''],OL898712
764,[''],OL898711
765,[''],OL898710
766,[''],OL898709
767,[''],OL898708
768,[''],OL898707
769,[''],OL898706
770,[''],OL898705
771,[''],OL898704
772,[''],OL898703
773,[''],OL898702
774,[''],OL898701
775,[''],OL898700
776,[''],OL898699
777,[''],OL898698
778,[''],OL898697
779,[''],OL898696
780,[''],OL898695
781,[''],OL898694
782,[''],OL898693
783,[''],OL898692
784,[''],OL898691
785,[''],OL898690
786,[''],OL898689
787,[''],OL898688
788,[''],OL898687
789,[''],OL898686
790,[''],OL898685
791,[''],OL898684
792,[''],OL898683
793,[''],OL898682
794,[''],OL898681
795,[''],OL898680
796,[''],OL898679
797,[''],OL898678
798,[''],OL898677
799,[''],OL898676
800,[''],OL898675
801,[''],OL898674
802,[''],OL898673
803,[''],OL898672
804,[''],OL898671
805,[''],OL898670
806,[''],OL898669
807,[''],OL898668
808,[''],OL898667
809,[''],OL898666
810,[''],OL898665
811,[''],OL898664
812,[''],OL898663
813,[''],LC664166
814,[''],LC664165
815,[''],LC664164
816,[''],LC664163
817,[''],LC664162
818,[''],LC664161
819,[''],LC664160
820,[''],LC664159
821,[''],LC664158
822,[''],LC664157
823,[''],LC664156
824,[''],LC664155
825,[''],LC664154
826,[''],LC664153
827,[''],LC664152
828,[''],LC664151
829,[''],LC664150
830,[''],LC664149
831,[''],LC664148
832,[''],LC664147
833,[''],LC664146
834,[''],LC664145
835,[''],LC664144
836,[''],LC664143
837,[''],LC664142
838,[''],LC664141
839,[''],MT298202
840,[''],MT298201
841,[''],MT298200
842,[''],MT298199
843,[''],MT298198
844,[''],MZ443816
845,[''],MZ443815
846,[''],MZ443814
847,[''],MZ443813
848,[''],MW979372
849,[''],MW979371
850,[''],MW979370
851,[''],MW979369
852,[''],MW979368
853,[''],MW979367
854,[''],MW979366
855,[''],MW979365
856,[''],MW979364
857,[''],MW979363
858,[''],MW979362
859,[''],MW979361
860,[''],MW979360
861,[''],MW979359
862,[''],MW979358
863,[''],MW979357
864,[''],MW979356
865,[''],MW979355
866,[''],MW979354
867,[''],MW979353
868,[''],MW979352
869,[''],MW979351
870,[''],MW979350
871,[''],MW979349
872,[''],MW979348
873,[''],MW979347
874,[''],MW979346
875,[''],MW979345
876,[''],MW979344
877,[''],MW979343
878,[''],MW979342
879,[''],MW979341
880,[''],MW979340
881,[''],MW979339
882,[''],MW979338
883,[''],MW979337
884,[''],MW979336
885,[''],MW979335
886,[''],MW979334
887,[''],MW979333
888,[''],MW979332
889,[''],MW979331
890,[''],MW979330
891,[''],MW979329
892,[''],MW979328
893,[''],MW979327
894,[''],MW979326
895,[''],MW979325
896,[''],MW979324
897,['34339379'],LC603843
898,['34339379'],LC603842
899,['34339379'],LC603841
900,['34339379'],LC603840
901,['34339379'],LC603839
902,['34339379'],LC603838
903,['34339379'],LC603837
904,['34339379'],LC603836
905,['34339379'],LC603835
906,['34339379'],LC603834
907,['34339379'],LC603833
908,['34339379'],LC603832
909,['34339379'],LC603831
910,['34339379'],LC603830
911,['34339379'],LC603829
912,['34339379'],LC603828
913,['34339379'],LC603827
914,['34339379'],LC603826
915,['34339379'],LC603825
916,['34339379'],LC603824
917,['34339379'],LC603823
918,['34339379'],LC603822
919,['34339379'],LC603821
920,['34339379'],LC603820
921,['34339379'],LC603819
922,['34339379'],LC603818
923,['34339379'],LC603817
924,['34339379'],LC603816
925,['34339379'],LC603815
926,['34339379'],LC603814
927,['34339379'],LC603813
928,['34339379'],LC603812
929,['34339379'],LC603811
930,['34339379'],LC603810
931,[''],MW656171
932,[''],MW273142
933,[''],MW273141
934,[''],MW273140
935,['33930028'],MW161460
936,['33930028'],MW161459
937,['33930028'],MW161458
938,['33930028'],MW161457
939,['33930028'],MW161456
940,['33930028'],MW161455
941,['33930028'],MW161454
942,['33930028'],MW161453
943,['33930028'],MW161452
944,['33930028'],MW161451
945,['33930028'],MW161450
946,['33930028'],MW161449
947,['33930028'],MW161448
948,['33930028'],MW161447
949,['33930028'],MW161446
950,['33930028'],MW161445
951,['33930028'],MW161444
952,['33930028'],MW161443
953,['33930028'],MW161442
954,['33930028'],MW161441
955,['33930028'],MW161440
956,['33930028'],MW161439
957,['33930028'],MW161438
958,['33930028'],MW161437
959,['33930028'],MW161436
960,['33930028'],MW161435
961,['33930028'],MW161434
962,['33930028'],MW161433
963,['33930028'],MW161432
964,['33930028'],MW161431
965,['33930028'],MW161430
966,['33930028'],MW161429
967,['33930028'],MW161428
968,['33930028'],MW161427
969,['33930028'],MW161426
970,['33930028'],MW161425
971,['33930028'],MW161424
972,['33930028'],MW161423
973,['33930028'],MW161422
974,['33930028'],MW161421
975,['33930028'],MW161420
976,['33930028'],MW161419
977,['33930028'],MW161418
978,['33930028'],MW161417
979,['33930028'],MW161416
980,['33930028'],MW161415
981,['33930028'],MW161414
982,['33930028'],MW161413
983,['33930028'],MW161412
984,['33930028'],MW161411
985,['33930028'],MW161410
986,['33930028'],MW161409
987,['33930028'],MW161408
988,['33930028'],MW161407
989,['33930028'],MW161406
990,['33930028'],MW161405
991,['33930028'],MW161404
992,['33930028'],MW161403
993,['33930028'],MW161402
994,['33930028'],MW161401
995,['33930028'],MW161400
996,['33930028'],MW161399
997,['33930028'],MW161398
998,['33930028'],MW161397
999,['33930028'],MW161396
1000,['33930028'],MW161395
1001,['33930028'],MW161394
1002,['33930028'],MW161393
1003,['33930028'],MW161392
1004,['33930028'],MW161391
1005,['33930028'],MW161390
1006,['33930028'],MW161389
1007,['33930028'],MW161388
1008,['33930028'],MW161387
1009,['33930028'],MW161386
1010,['33930028'],MW161385
1011,['33930028'],MW161384
1012,['33930028'],MW161383
1013,['33930028'],MW161382
1014,['33930028'],MW161381
1015,['33930028'],MW161380
1016,['33930028'],MW161379
1017,['33930028'],MW161378
1018,['33930028'],MW161377
1019,['33930028'],MW161376
1020,['33930028'],MW161375
1021,['33930028'],MW161374
1022,['33930028'],MW161373
1023,['33930028'],MW161372
1024,['33930028'],MW161371
1025,['33930028'],MW161370
1026,['33930028'],MW161369
1027,['33930028'],MW161368
1028,['33930028'],MW161367
1029,['33930028'],MW161366
1030,['33930028'],MW161365
1031,['33930028'],MW161364
1032,[''],MW574902
1033,['33673872'],MT992068
1034,['33673872'],MT992067
1035,['33673872'],MT992066
1036,['33347450'],MT591107
1037,['33347450'],MT591106
1038,['33347450'],MT591105
1039,['33347450'],MT591104
1040,['33347450'],MT591103
1041,['33347450'],MT591102
1042,['33347450'],MT591101
1043,['33347450'],MT591100
1044,['33347450'],MT591099
1045,['33347450'],MT591098
1046,['33347450'],MT591097
1047,['33347450'],MT591096
1048,['33347450'],MT591095
1049,['33347450'],MT591094
1050,['33347450'],MT591093
1051,['33347450'],MT591092
1052,['33347450'],MT591091
1053,['33347450'],MT591090
1054,['33347450'],MT591089
1055,['33347450'],MT591088
1056,['33347450'],MT591087
1057,['33347450'],MT591086
1058,['33347450'],MT591085
1059,['33347450'],MT591084
1060,['33347450'],MT591083
1061,['33507923'],MW271627
1062,['33507923'],MW271626
1063,['33507923'],MW271625
1064,['33507923'],MW271624
1065,['33507923'],MW271623
1066,['33507923'],MW271622
1067,['33507923'],MW271621
1068,['33507923'],MW271620
1069,['32759878'],MT526904
1070,['32759878'],MT526903
1071,['32759878'],MT526902
1072,['32759878'],MT526901
1073,['32759878'],MT526900
1074,[''],MN864742
1075,[''],MN864741
1076,[''],MN864740
1077,[''],MN864739
1078,[''],MN864738
1079,[''],MN864737
1080,[''],MN864736
1081,[''],MN864735
1082,[''],MN864734
1083,[''],MN864733
1084,[''],MN864732
1085,[''],MN864731
1086,[''],MN864730
1087,[''],MN864729
1088,[''],MN864728
1089,[''],MN864727
1090,[''],MN864726
1091,[''],MN864725
1092,[''],MN864724
1093,[''],MN864723
1094,[''],MN864722
1095,[''],MN864721
1096,[''],MN864720
1097,[''],MN864719
1098,[''],MN864718
1099,[''],MN864717
1100,[''],MN864716
1101,[''],MN864715
1102,[''],MN864714
1103,[''],MN864713
1104,[''],MN864712
1105,[''],MN864711
1106,[''],MN864710
1107,[''],MN864709
1108,[''],MN864708
1109,[''],MN864707
1110,[''],MT349293
1111,[''],MT349292
1112,[''],MT349291
1113,[''],MT349290
1114,[''],MT349289
1115,[''],MT349288
1116,[''],MT349287
1117,[''],MT349286
1118,[''],MT349285
1119,[''],MT349284
1120,[''],MT349283
1121,[''],MT349282
1122,[''],MT349281
1123,[''],MT349280
1124,[''],MT349279
1125,[''],MT349278
1126,[''],MT349277
1127,[''],MT349276
1128,[''],MT349275
1129,[''],MT349274
1130,[''],MT349273
1131,[''],MT349272
1132,[''],MT349271
1133,[''],MT349270
1134,[''],MT349269
1135,[''],MT349268
1136,[''],MT349267
1137,[''],MT349266
1138,[''],MT349265
1139,[''],MT349264
1140,[''],MT349263
1141,[''],MT349262
1142,[''],MT349261
1143,[''],MT349260
1144,[''],MT349259
1145,[''],MT349258
1146,[''],MT349257
1147,[''],MT349256
1148,[''],MT349255
1149,[''],MT349254
1150,[''],MT349253
1151,[''],MT349252
1152,[''],MT349251
1153,[''],MT349250
1154,[''],MT349249
1155,[''],MT349248
1156,[''],MT349247
1157,[''],MT349246
1158,[''],MT349245
1159,[''],MT349244
1160,[''],MT349243
1161,[''],MT349242
1162,[''],MT349241
1163,[''],MT349240
1164,[''],MT349239
1165,[''],MT349238
1166,[''],MT349237
1167,[''],MT349236
1168,[''],MT349235
1169,[''],MT349234
1170,[''],MT349233
1171,[''],MT349232
1172,[''],MT349231
1173,[''],MT349230
1174,[''],MT349229
1175,[''],MT349228
1176,[''],MT349227
1177,[''],MT349226
1178,[''],MT349225
1179,[''],MT349224
1180,[''],MT349223
1181,[''],MT349222
1182,[''],MT349221
1183,[''],MT349220
1184,[''],MT349219
1185,[''],MT349218
1186,[''],MT349217
1187,[''],MT349216
1188,[''],MT349215
1189,[''],MT349214
1190,[''],MT349213
1191,[''],MT349212
1192,[''],MT349211
1193,[''],MT349210
1194,[''],MT349209
1195,[''],MT349208
1196,[''],MT349207
1197,[''],MT349206
1198,[''],MT349205
1199,[''],MT349204
1200,[''],MT349203
1201,[''],MT349202
1202,[''],MT349201
1203,[''],MT349200
1204,[''],MT349199
1205,[''],MT349198
1206,[''],MT349197
1207,[''],MT349196
1208,[''],MT349195
1209,[''],MT349194
1210,[''],MT349193
1211,[''],MT349192
1212,[''],MT349191
1213,[''],MT349190
1214,[''],MT349189
1215,[''],MT349188
1216,[''],MT349187
1217,[''],MT349186
1218,[''],MT349185
1219,[''],MT349184
1220,[''],MT349183
1221,[''],MT349182
1222,[''],MT349181
1223,[''],MT349180
1224,[''],MT349179
1225,[''],MT349178
1226,[''],MT349177
1227,[''],MT349176
1228,[''],MT349175
1229,[''],MT349174
1230,[''],MT349173
1231,[''],MT349172
1232,[''],MT349171
1233,[''],MT349170
1234,[''],MT349169
1235,[''],MT349168
1236,[''],MT349167
1237,[''],MT349166
1238,[''],MT349165
1239,[''],MT349164
1240,[''],MT349163
1241,[''],MT349162
1242,[''],MT349161
1243,[''],MT349160
1244,[''],MT349159
1245,[''],MT349158
1246,[''],MT349157
1247,[''],MT349156
