Locus,Pubmed accession number
LP758384,[]
LP758385,[]
LP758386,[]
LP758387,[]
LP758388,[]
LP758389,[]
LP758390,[]
LP758391,[]
LP758400,[]
LP758401,[]
LP758402,[]
LP758403,[]
LP758404,[]
LP758405,[]
LP758406,[]
LP758407,[]
LP758416,[]
LP758417,[]
LP758418,[]
LP758419,[]
LP758420,[]
LP758421,[]
LP758422,[]
LP758423,[]
LP758432,[]
LP758433,[]
LP758434,[]
LP758435,[]
LP758436,[]
LP758437,[]
LP758438,[]
LP758439,[]
LP758448,[]
LP758449,[]
LP758450,[]
LP758451,[]
LP758452,[]
LP758453,[]
LP758454,[]
LP758455,[]
LP758464,[]
LP758465,[]
LP758466,[]
LP758467,[]
LP758468,[]
LP758469,[]
LP758470,[]
LP758471,[]
LP758476,[]
LP758477,[]
LP758478,[]
LP758479,[]
LP759651,[]
LP759652,[]
LP759653,[]
LP759654,[]
LP759655,[]
LP759656,[]
LP759657,[]
LP759658,[]
LP759667,[]
LP759668,[]
LP759669,[]
LP759670,[]
LP759671,[]
LP759672,[]
LP759673,[]
LP759674,[]
LP759683,[]
LP759684,[]
LP759685,[]
LP759686,[]
LP759687,[]
LP759688,[]
LP759689,[]
LP759690,[]
LP759699,[]
LP759700,[]
LP759701,[]
LP759702,[]
LP759703,[]
LP759704,[]
LP759705,[]
LP759706,[]
LP759715,[]
LP759716,[]
LP759717,[]
LP759718,[]
LP759719,[]
LP759720,[]
LP759721,[]
LP759722,[]
LP759731,[]
LP759732,[]
LP759733,[]
LP759734,[]
LP759735,[]
LP759736,[]
LP759737,[]
LP759738,[]
LP759747,[]
LP759748,[]
LP759749,[]
LP759750,[]
LP759751,[]
LP759752,[]
LP759753,[]
LP759754,[]
LP759763,[]
LP759764,[]
LP759765,[]
LP759766,[]
LP759767,[]
LP759768,[]
LP759769,[]
LP759770,[]
LP759775,[]
LP759776,[]
LP759777,[]
LP759778,[]
LP760029,[]
LP760030,[]
LP760031,[]
LP760032,[]
LP814989,[]
LP814991,[]
LP814993,[]
LP814995,[]
LP814997,[]
LP814999,[]
LP815001,[]
LP815003,[]
LP815005,[]
LP833784,[]
LP833785,[]
LP833786,[]
LP833787,[]
LP833788,[]
LP833789,[]
LP833790,[]
LP833791,[]
LP833792,[]
LP833793,[]
LP833794,[]
LP833795,[]
LP833852,[]
LP833854,[]
LP833856,[]
LP833857,[]
LP833858,[]
LP833859,[]
LP833860,[]
LP833861,[]
LP833862,[]
LP833863,[]
LP833864,[]
LP833865,[]
LP833866,[]
LP833867,[]
LP833868,[]
LP833869,[]
LP833870,[]
LP833871,[]
LP833872,[]
LP833873,[]
LP833874,[]
LP833875,[]
LP833876,[]
LP833877,[]
LP833878,[]
LP833879,[]
LP833880,[]
LP833881,[]
LP833882,[]
LP833883,[]
LP833884,[]
LP833885,[]
LP833886,[]
LP833887,[]
LP833888,[]
LP833889,[]
LP833890,[]
LP833891,[]
LP833892,[]
LP833893,[]
LP833894,[]
LP833895,[]
LP833896,[]
LP833897,[]
LP833898,[]
LP833899,[]
LP836861,[]
LP836862,[]
LP836863,[]
LP836864,[]
LP836865,[]
LP836866,[]
LP836867,[]
LP836868,[]
LP836869,[]
LP836870,[]
LP836871,[]
LP836872,[]
LP836929,[]
LP836931,[]
LP836933,[]
LP836934,[]
LP836935,[]
LP836936,[]
LP836937,[]
LP836938,[]
LP836939,[]
LP836940,[]
LP836941,[]
LP836942,[]
LP836943,[]
LP836944,[]
LP836945,[]
LP836946,[]
LP836947,[]
LP836948,[]
LP836949,[]
LP836950,[]
LP836951,[]
LP836952,[]
LP836953,[]
LP836954,[]
LP836955,[]
LP836956,[]
LP836957,[]
LP836958,[]
LP836959,[]
LP836960,[]
LP836961,[]
LP836962,[]
LP836963,[]
LP836964,[]
LP836965,[]
LP836966,[]
LP836967,[]
LP836968,[]
LP836969,[]
LP836970,[]
LP836971,[]
LP836972,[]
LP836973,[]
LP836974,[]
LP836975,[]
LP836976,[]
LP837155,[]
LP837156,[]
LP837157,[]
LP837158,[]
LP837159,[]
LP837160,[]
LP837161,[]
LP837162,[]
LP837163,[]
LP837164,[]
LP837165,[]
LP837166,[]
LP837231,[]
LP837278,[]
LP837279,[]
LP837280,[]
LP837281,[]
LP837282,[]
LP837283,[]
LP837284,[]
LP837285,[]
LP837286,[]
LP837287,[]
LP837288,[]
LP837289,[]
LP837346,[]
LP837348,[]
LP837350,[]
LP837351,[]
LP837352,[]
LP837353,[]
LP837354,[]
LP837355,[]
LP837356,[]
LP837357,[]
LP837358,[]
LP837359,[]
LP837360,[]
LP837361,[]
LP837362,[]
LP837363,[]
LP837364,[]
LP837365,[]
LP837366,[]
LP837367,[]
LP837368,[]
LP837369,[]
LP837370,[]
LP837371,[]
LP837372,[]
LP837373,[]
LP837374,[]
LP837375,[]
LP837376,[]
LP837377,[]
LP837378,[]
LP837379,[]
LP837380,[]
LP837381,[]
LP837382,[]
LP837383,[]
LP837384,[]
LP837385,[]
LP837386,[]
LP837387,[]
LP837388,[]
LP837389,[]
LP837390,[]
LP837391,[]
LP837392,[]
LP837393,[]
LP856568,[]
LP856570,[]
LP856572,[]
LP856574,[]
LP856576,[]
LP856578,[]
LP856580,[]
LP866417,[]
LP866418,[]
LP866419,[]
LP866420,[]
LP866421,[]
LP866422,[]
LP866423,[]
LP866424,[]
LP866425,[]
LP866426,[]
LP866427,[]
LP866428,[]
LP866429,[]
LP866430,[]
LP866431,[]
LP866432,[]
LP866433,[]
LP866434,[]
LP866435,[]
LP866436,[]
LP866437,[]
LP866438,[]
LP866439,[]
LP866440,[]
LP866441,[]
LP866442,[]
LP866443,[]
LP866444,[]
LP866445,[]
LP866446,[]
LP880334,[]
LP880335,[]
LP880336,[]
LP880337,[]
LP880338,[]
LP880339,[]
LP880340,[]
LP880341,[]
LP880342,[]
LP880343,[]
LP880344,[]
LP880345,[]
LP880346,[]
LP880347,[]
LP880348,[]
LP880349,[]
LP880350,[]
LP880351,[]
LP880352,[]
LP918026,[]
LP918027,[]
LP918029,[]
LP918030,[]
LP918031,[]
LP918032,[]
LP918033,[]
LP918034,[]
LP918035,[]
LP918036,[]
LP918037,[]
LP918038,[]
LP918039,[]
LP918040,[]
LP918041,[]
LP918042,[]
LP918043,[]
LP918044,[]
LP918045,[]
LP918046,[]
LP918047,[]
LP918048,[]
LP918049,[]
LP918050,[]
LP940661,[]
LP940662,[]
LP940663,[]
LP940664,[]
LP940665,[]
LP940666,[]
LP940667,[]
LP940668,[]
LP940669,[]
LP940670,[]
LP940671,[]
LP940672,[]
LP940673,[]
LP940727,[]
LP940728,[]
LP940729,[]
LP940730,[]
LP940731,[]
LP940732,[]
LP940733,[]
LP940734,[]
LP940735,[]
LP940736,[]
LP940737,[]
LP940738,[]
LP940739,[]
LP940740,[]
LP940741,[]
LP940742,[]
LP940743,[]
LP940744,[]
LP940745,[]
LP961138,[]
LP961139,[]
LP961140,[]
LP961145,[]
LP961157,[]
LP961159,[]
LP961161,[]
LP961162,[]
LP961163,[]
LP961164,[]
LP961165,[]
LP961166,[]
LP981792,[]
LP981793,[]
LP981794,[]
LP981795,[]
LP981796,[]
LP981797,[]
LP981798,[]
LP981799,[]
LP981800,[]
LP981801,[]
LP981802,[]
LP981803,[]
LP981868,[]
LP994714,[]
LP994715,[]
LP994716,[]
LP994717,[]
LP994718,[]
LP994719,[]
LP994720,[]
LP994721,[]
LP994722,[]
LP994723,[]
LP994724,[]
LP994725,[]
LP994726,[]
LP994727,[]
LP994728,[]
LP994729,[]
LP994730,[]
LP994731,[]
LP994732,[]
LP994733,[]
LP994734,[]
LP994735,[]
LP994736,[]
LP994737,[]
LP994738,[]
LQ711404,[]
LQ711406,[]
LQ711407,[]
LQ723816,[]
LQ729863,[]
LQ729864,[]
LQ729865,[]
LQ729866,[]
