Unnamed: 0,Locus,Pubmed_number,pmcid
1024,KF417493,24978469,PMC4076277
1025,KF417494,24978469,PMC4076277
1026,KF417495,24978469,PMC4076277
1027,KF417496,24978469,PMC4076277
1068,KJ160504,24385585,PMC3918811
1069,KJ188199,25689778,PMC4331496
1073,KJ534635,26047200,
1102,KJ690587,25242312,
1163,KM216739,25635775,PMC4311992
1164,KM216740,25635775,PMC4311992
1165,KM216741,25635775,PMC4311992
1166,KM216742,25635775,PMC4311992
1167,KM216743,25635775,PMC4311992
1168,KM216744,25635775,PMC4311992
1169,KM216745,25635775,PMC4311992
1170,KM216746,25635775,PMC4311992
1171,KM216747,25635775,PMC4311992
1191,KP292911,25866331,
1192,KP292912,25866331,
1193,KP292913,25866331,
1194,KP292914,25866331,
1195,KP292915,25866331,
1196,KP292916,25866331,
1197,KP292917,25866331,
1198,KP292918,25866331,
1199,KP292919,25866331,
1200,KP292920,25866331,
1201,KP292921,25866331,
1202,KP292922,25866331,
1203,KP292923,25866331,
1204,KP292924,25866331,
1205,KP292925,25866331,
1206,KP292926,25866331,
1207,KP292927,25866331,
1208,KP292928,25866331,
1209,KP292929,25866331,
1210,KP292930,25866331,
1211,KP292931,25866331,
1227,KP406806,26607896,PMC4661315
1261,KP694222,26517653,PMC4667577
1262,KP694223,26517653,PMC4667577
1263,KP694224,26517653,PMC4667577
1264,KP694225,26517653,PMC4667577
1265,KP703864,27069820,PMC4824887
1266,KP703865,27069820,PMC4824887
1267,KP703866,27069820,PMC4824887
1268,KP703867,27069820,PMC4824887
1269,KP703868,27069820,PMC4824887
1270,KP703869,27069820,PMC4824887
1271,KP703870,27069820,PMC4824887
1272,KP703871,27069820,PMC4824887
1273,KP703872,27069820,PMC4824887
1274,KP703873,27069820,PMC4824887
1275,KP703874,27069820,PMC4824887
1276,KP703875,27069820,PMC4824887
1277,KP703876,27069820,PMC4824887
1278,KP703877,27069820,PMC4824887
1279,KP703878,27069820,PMC4824887
1280,KP703879,27069820,PMC4824887
1281,KP703880,27069820,PMC4824887
1282,KP703881,27069820,PMC4824887
1283,KP703882,27069820,PMC4824887
1284,KP703883,27069820,PMC4824887
1285,KP703884,27069820,PMC4824887
1286,KP703885,27069820,PMC4824887
1287,KP703886,27069820,PMC4824887
1288,KP703887,27069820,PMC4824887
1289,KP703888,27069820,PMC4824887
1290,KP703889,27069820,PMC4824887
1291,KP703890,27069820,PMC4824887
1292,KP703891,27069820,PMC4824887
1293,KP703892,27069820,PMC4824887
1294,KP703893,27069820,PMC4824887
1295,KP703894,27069820,PMC4824887
1296,KP703895,27069820,PMC4824887
1297,KP703896,27069820,PMC4824887
1298,KP703897,27069820,PMC4824887
1299,KP703898,27069820,PMC4824887
1300,KP703899,27069820,PMC4824887
1301,KP703900,27069820,PMC4824887
1302,KP703901,27069820,PMC4824887
1303,KP703902,27069820,PMC4824887
1304,KP703903,27069820,PMC4824887
1305,KP703904,27069820,PMC4824887
1306,KP703905,27069820,PMC4824887
1307,KP703906,27069820,PMC4824887
1308,KP703907,27069820,PMC4824887
1309,KP703908,27069820,PMC4824887
1310,KP703909,27069820,PMC4824887
1311,KP703910,27069820,PMC4824887
1312,KP703911,27069820,PMC4824887
1313,KP703912,27069820,PMC4824887
1314,KP703913,27069820,PMC4824887
1315,KP703914,27069820,PMC4824887
1316,KP703915,27069820,PMC4824887
1317,KP703916,27069820,PMC4824887
1318,KP703917,27069820,PMC4824887
1319,KP703918,27069820,PMC4824887
1320,KP703919,27069820,PMC4824887
1321,KP703920,27069820,PMC4824887
1322,KP703921,27069820,PMC4824887
1323,KP703922,27069820,PMC4824887
1324,KP703923,27069820,PMC4824887
1325,KP703924,27069820,PMC4824887
1326,KP703925,27069820,PMC4824887
1327,KP703926,27069820,PMC4824887
1328,KP703927,27069820,PMC4824887
1329,KP703928,27069820,PMC4824887
1330,KP703929,27069820,PMC4824887
1331,KP703930,27069820,PMC4824887
1332,KP703931,27069820,PMC4824887
1333,KP703932,27069820,PMC4824887
1334,KP703933,27069820,PMC4824887
1335,KP703934,27069820,PMC4824887
1336,KP703935,27069820,PMC4824887
1337,KP703936,27069820,PMC4824887
1338,KP703937,27069820,PMC4824887
1339,KP703938,27069820,PMC4824887
1340,KP703939,27069820,PMC4824887
1341,KP703940,27069820,PMC4824887
1342,KP703941,27069820,PMC4824887
1343,KP703942,27069820,PMC4824887
1344,KP703943,27069820,PMC4824887
1345,KP703944,27069820,PMC4824887
1346,KP703945,27069820,PMC4824887
1347,KP703946,27069820,PMC4824887
1348,KP703947,27069820,PMC4824887
1349,KP703948,27069820,PMC4824887
1350,KP703949,27069820,PMC4824887
1351,KP703950,27069820,PMC4824887
1352,KP703951,27069820,PMC4824887
1353,KP703952,27069820,PMC4824887
1354,KP703953,27069820,PMC4824887
1355,KP703954,27069820,PMC4824887
1356,KP703955,27069820,PMC4824887
1357,KP703956,27069820,PMC4824887
1358,KP703957,27069820,PMC4824887
1359,KP703958,27069820,PMC4824887
1360,KP703959,27069820,PMC4824887
1361,KP703960,27069820,PMC4824887
1362,KP703961,27069820,PMC4824887
1363,KP703962,27069820,PMC4824887
1364,KP703963,27069820,PMC4824887
1365,KP703964,27069820,PMC4824887
1366,KP703965,27069820,PMC4824887
1367,KP703966,27069820,PMC4824887
1368,KP703967,27069820,PMC4824887
1369,KP703968,27069820,PMC4824887
1370,KP703969,27069820,PMC4824887
1371,KP703970,27069820,PMC4824887
1372,KP703971,27069820,PMC4824887
1373,KP703972,27069820,PMC4824887
1374,KP703973,27069820,PMC4824887
1375,KP703974,27069820,PMC4824887
1376,KP703975,27069820,PMC4824887
1377,KP703976,27069820,PMC4824887
1378,KP703977,27069820,PMC4824887
1379,KP703978,27069820,PMC4824887
1380,KP703979,27069820,PMC4824887
1381,KP703980,27069820,PMC4824887
1382,KP703981,27069820,PMC4824887
1383,KP703982,27069820,PMC4824887
1384,KP703983,27069820,PMC4824887
1385,KP703984,27069820,PMC4824887
1386,KP703985,27069820,PMC4824887
1387,KP703986,27069820,PMC4824887
1388,KP703987,27069820,PMC4824887
1389,KP703988,27069820,PMC4824887
1390,KP703989,27069820,PMC4824887
1391,KP703990,27069820,PMC4824887
1392,KP703991,27069820,PMC4824887
1393,KP703992,27069820,PMC4824887
1394,KP703993,27069820,PMC4824887
1395,KP703994,27069820,PMC4824887
1396,KP703995,27069820,PMC4824887
1397,KP703996,27069820,PMC4824887
1398,KP703997,27069820,PMC4824887
